Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%)
4,2.87,7.18,26.06,1.8,36.06,8.46,4.24,70.39,29.7
6,2.43,5.18,13.31,0.0,13.02,10.22,5.74,71.13,19.0
5,2.54,8.97,13.69,0.0,25.44,8.79,4.65,68.6,22.4
5,0.1,25.68,14.15,3.44,92.29,8.29,5.43,67.78,23.3
6,0.0,2.83,7.74,0.16,6.14,11.93,0.08,72.41,11.4
6,0.0,3.42,11.43,0.35,9.61,10.31,1.03,70.98,23.0
6,0.41,7.71,23.88,0.26,35.72,8.57,2.5,70.0,26.7
5,1.66,9.11,35.2,1.71,53.15,8.16,3.73,71.29,19.7
4,2.87,8.87,21.43,0.0,50.42,8.5,5.3,69.21,21.4
5,2.16,10.05,21.94,2.1,36.69,8.39,4.47,70.64,24.5
4,3.46,4.53,21.9,1.46,34.63,8.82,3.93,71.32,27.2
5,1.78,10.75,27.47,0.88,49.18,8.34,3.73,68.17,19.8
5,1.14,11.39,31.67,0.53,51.23,7.34,5.91,66.34,25.6
4,3.4,6.23,22.81,1.38,37.93,7.94,2.58,67.83,22.9
5,2.3,6.68,25.15,0.84,33.16,7.82,5.18,70.02,26.2
6,0.0,9.02,10.07,0.0,8.38,11.16,0.05,72.71,17.4
4,0.0,3.41,24.33,3.62,9.77,10.38,0.46,72.21,25.0
5,1.91,12.62,23.28,0.32,28.02,9.05,2.29,68.24,31.1
6,0.29,14.68,33.22,1.24,42.63,7.1,7.54,68.67,32.2
5,1.88,12.32,16.47,0.51,31.7,7.94,3.2,69.02,29.7
5,1.13,16.46,34.32,0.56,35.75,8.76,2.97,66.16,22.4
6,0.45,13.89,26.72,0.68,36.65,7.58,4.07,68.26,28.3
6,0.62,15.84,14.36,2.5,33.05,7.86,5.97,68.84,23.0
6,0.16,10.75,38.39,0.42,52.91,7.89,5.55,69.06,22.0
6,0.18,10.6,23.23,0.33,42.36,7.62,1.2,69.17,21.5
5,0.37,11.12,51.63,6.16,49.26,7.94,4.27,67.07,24.8
5,0.92,13.82,42.79,0.85,29.38,7.96,1.67,65.6,29.2
4,1.14,13.35,44.05,4.85,72.25,7.89,2.71,65.13,26.0
5,1.49,12.91,16.48,0.33,37.94,6.51,2.12,68.33,20.2
3,2.47,20.11,35.05,1.34,45.78,7.55,6.71,65.76,28.3
6,0.0,11.34,12.54,0.0,2.44,10.94,0.04,71.01,16.1
3,0.0,9.4,34.3,0.39,39.28,9.62,1.0,66.85,15.5
4,0.0,13.23,21.25,0.01,33.42,9.47,0.3,69.39,22.8
4,0.0,12.2,15.38,0.21,29.33,9.84,0.14,70.47,22.0
5,0.49,18.16,34.41,0.13,55.74,9.32,1.11,67.93,20.8
4,1.72,15.85,24.14,0.73,61.38,9.02,1.31,68.75,26.0
3,3.48,11.61,26.01,0.42,54.15,8.24,3.15,68.27,20.7
5,0.99,18.62,42.07,0.36,41.77,8.23,4.22,66.73,11.3
5,0.76,18.72,28.1,1.46,72.94,8.12,2.38,67.9,24.7
5,1.57,11.93,22.6,0.0,38.32,8.33,3.62,66.73,22.2
